Environment,Seed,Step,Reward,Runtime_Hours,Runtime_seconds
PendulumSwingup,44,53,51.2265625,0.045576569,164.0756481
PendulumSwingup,44,60,51.640625,0.045576569,164.0756481
CartpoleSwingupSparse,44,0,0,0.047801481,172.0853315
CartpoleSwingupSparse,44,6,0.3515625,0.047801481,172.0853315
CartpoleSwingupSparse,44,13,27.78125,0.047801481,172.0853315
CartpoleSwingupSparse,44,20,29.8203125,0.047801481,172.0853315
CartpoleSwingupSparse,44,26,4.4765625,0.047801481,172.0853315
CartpoleSwingupSparse,44,33,2.953125,0.047801481,172.0853315
CartpoleSwingupSparse,44,40,10.46875,0.047801481,172.0853315
CartpoleSwingupSparse,44,46,5.59375,0.047801481,172.0853315
CartpoleSwingupSparse,44,53,0,0.047801481,172.0853315
CartpoleSwingupSparse,44,60,0,0.047801481,172.0853315
AcrobotSwingupSparse,44,0,0.15625,0.047806123,172.1020422
AcrobotSwingupSparse,44,6,0.5703125,0.047806123,172.1020422
AcrobotSwingupSparse,44,13,0,0.047806123,172.1020422
AcrobotSwingupSparse,44,20,0.140625,0.047806123,172.1020422
AcrobotSwingupSparse,44,26,0.1640625,0.047806123,172.1020422
AcrobotSwingupSparse,44,33,0,0.047806123,172.1020422
AcrobotSwingupSparse,44,40,0.125,0.047806123,172.1020422
AcrobotSwingupSparse,44,46,0.3359375,0.047806123,172.1020422
AcrobotSwingupSparse,44,53,0.1015625,0.047806123,172.1020422
AcrobotSwingupSparse,44,60,0.4921875,0.047806123,172.1020422
CheetahRun,44,0,3.909580946,0.090302303,325.0882905
CheetahRun,44,6,261.183075,0.090302303,325.0882905
CheetahRun,44,13,595.1504517,0.090302303,325.0882905
CheetahRun,44,20,730.9233398,0.090302303,325.0882905
CheetahRun,44,26,838.4292603,0.090302303,325.0882905
CheetahRun,44,33,859.2579346,0.090302303,325.0882905
CheetahRun,44,40,887.1962891,0.090302303,325.0882905
CheetahRun,44,46,899.4528809,0.090302303,325.0882905
CheetahRun,44,53,701.8980103,0.090302303,325.0882905
CheetahRun,44,60,879.1434326,0.090302303,325.0882905
FishSwim,44,0,65.4723053,0.137890815,496.4069333
FishSwim,44,6,112.9984589,0.137890815,496.4069333
FishSwim,44,13,288.8276367,0.137890815,496.4069333
FishSwim,44,20,469.4971313,0.137890815,496.4069333
FishSwim,44,26,573.0442505,0.137890815,496.4069333
FishSwim,44,33,547.4672241,0.137890815,496.4069333
FishSwim,44,40,594.1202393,0.137890815,496.4069333
FishSwim,44,46,599.1049194,0.137890815,496.4069333
FishSwim,44,53,553.2974243,0.137890815,496.4069333
FishSwim,44,60,603.5766602,0.137890815,496.4069333
HopperHop,44,0,0.027679138,0.147021723,529.2782037
HopperHop,44,6,0.204810768,0.147021723,529.2782037
HopperHop,44,13,22.09131241,0.147021723,529.2782037
HopperHop,44,20,31.98828506,0.147021723,529.2782037
HopperHop,44,26,49.26950836,0.147021723,529.2782037
HopperHop,44,33,79.54837036,0.147021723,529.2782037
HopperHop,44,40,86.48709869,0.147021723,529.2782037
HopperHop,44,46,98.7250824,0.147021723,529.2782037
HopperHop,44,53,128.531662,0.147021723,529.2782037
HopperHop,44,60,110.7277222,0.147021723,529.2782037
HopperStand,44,0,1.778241515,0.147245096,530.0823464
HopperStand,44,6,5.541698933,0.147245096,530.0823464
HopperStand,44,13,7.60658741,0.147245096,530.0823464
HopperStand,44,20,41.13857651,0.147245096,530.0823464
HopperStand,44,26,75.77020264,0.147245096,530.0823464
HopperStand,44,33,118.2728958,0.147245096,530.0823464
HopperStand,44,40,160.5484161,0.147245096,530.0823464
HopperStand,44,46,195.3144226,0.147245096,530.0823464
HopperStand,44,53,168.3563538,0.147245096,530.0823464
HopperStand,44,60,216.160614,0.147245096,530.0823464
WalkerStand,44,0,129.6521912,0.145586977,524.1131167
WalkerStand,44,6,329.3618774,0.145586977,524.1131167
WalkerStand,44,13,671.762207,0.145586977,524.1131167
WalkerStand,44,20,892.0107422,0.145586977,524.1131167
WalkerStand,44,26,930.84021,0.145586977,524.1131167
WalkerStand,44,33,920.7426758,0.145586977,524.1131167
WalkerStand,44,40,938.559082,0.145586977,524.1131167
WalkerStand,44,46,932.6103516,0.145586977,524.1131167
WalkerRun,44,0,23.11509323,0.167866518,604.3194656
WalkerRun,44,6,62.15098572,0.167866518,604.3194656
WalkerRun,44,13,149.2550049,0.167866518,604.3194656
WalkerRun,44,20,358.7977905,0.167866518,604.3194656
WalkerRun,44,26,481.2102051,0.167866518,604.3194656
WalkerRun,44,33,529.3215332,0.167866518,604.3194656
WalkerRun,44,40,559.7671509,0.167866518,604.3194656
WalkerRun,44,46,578.4370728,0.167866518,604.3194656
WalkerRun,44,53,567.1021118,0.167866518,604.3194656
WalkerRun,44,60,588.0974121,0.167866518,604.3194656
WalkerWalk,44,0,33.67284393,0.169263055,609.3469965
WalkerWalk,44,6,218.5202637,0.169263055,609.3469965
WalkerWalk,44,13,508.8638306,0.169263055,609.3469965
WalkerWalk,44,20,769.3731689,0.169263055,609.3469965
WalkerWalk,44,26,937.104187,0.169263055,609.3469965
WalkerWalk,44,33,792.6681519,0.169263055,609.3469965
WalkerWalk,44,40,930.1484375,0.169263055,609.3469965
WalkerWalk,44,46,930.4013672,0.169263055,609.3469965
WalkerWalk,44,53,870.2424316,0.169263055,609.3469965
WalkerWalk,44,60,881.2167969,0.169263055,609.3469965
FingerSpin,45,0,0.4921875,0.109528753,394.3035106
FingerSpin,45,6,74.0546875,0.109528753,394.3035106
FingerSpin,45,13,368.234375,0.109528753,394.3035106
FingerSpin,45,20,503.0078125,0.109528753,394.3035106
FingerSpin,45,26,591.671875,0.109528753,394.3035106
FingerSpin,45,33,811.1953125,0.109528753,394.3035106
FingerSpin,45,40,886.7734375,0.109528753,394.3035106
FingerSpin,45,46,900.625,0.109528753,394.3035106
FingerSpin,45,53,902.7734375,0.109528753,394.3035106
FingerSpin,45,60,903.921875,0.109528753,394.3035106
AcrobotSwingup,45,0,2.877802849,0.045300828,163.0829821
AcrobotSwingup,45,6,3.798825502,0.045300828,163.0829821
AcrobotSwingup,45,13,7.654815674,0.045300828,163.0829821
AcrobotSwingup,45,20,5.01265955,0.045300828,163.0829821
AcrobotSwingup,45,26,9.649576187,0.045300828,163.0829821
AcrobotSwingup,45,33,15.59420204,0.045300828,163.0829821
AcrobotSwingup,45,40,21.93618584,0.045300828,163.0829821
AcrobotSwingup,45,46,20.54021263,0.045300828,163.0829821
AcrobotSwingup,45,53,37.52500916,0.045300828,163.0829821
AcrobotSwingup,45,60,58.36598206,0.045300828,163.0829821
PendulumSwingup,45,0,0.4296875,0.049743928,179.0781403
PendulumSwingup,45,6,0.296875,0.049743928,179.0781403
PendulumSwingup,45,13,4.8671875,0.049743928,179.0781403
PendulumSwingup,45,20,9.8671875,0.049743928,179.0781403
PendulumSwingup,45,26,8.4140625,0.049743928,179.0781403
PendulumSwingup,45,33,14.2265625,0.049743928,179.0781403
PendulumSwingup,45,40,36.828125,0.049743928,179.0781403
PendulumSwingup,45,46,44.5390625,0.049743928,179.0781403
PendulumSwingup,45,53,51.6328125,0.049743928,179.0781403
PendulumSwingup,45,60,53.6953125,0.049743928,179.0781403
CartpoleSwingupSparse,45,0,0,0.048354854,174.0774733
CartpoleSwingupSparse,45,6,0.4140625,0.048354854,174.0774733
CartpoleSwingupSparse,45,13,30.2421875,0.048354854,174.0774733
CartpoleSwingupSparse,45,20,42.9609375,0.048354854,174.0774733
CartpoleSwingupSparse,45,26,4.3359375,0.048354854,174.0774733
CartpoleSwingupSparse,45,33,0,0.048354854,174.0774733
CartpoleSwingupSparse,45,40,0,0.048354854,174.0774733
CartpoleSwingupSparse,45,46,0,0.048354854,174.0774733
CartpoleSwingupSparse,45,53,0,0.048354854,174.0774733
CartpoleSwingupSparse,45,60,0,0.048354854,174.0774733
AcrobotSwingupSparse,45,0,0.0625,0.047802021,172.0872741
